// Omitted instructions: All MMX instructions, LSL, LAR

AAA	37
CMOVNO r64, r/m64	REX.W + 0F 41
CMOVNP r16, r/m16	0F 4B
CMOVNP r32, r/m32	0F 4B
CMOVNP r64, r/m64	REX.W + 0F 4B
CMOVNS r16, r/m16	0F 49
CMOVNS r32, r/m32	0F 49
CMOVNS r64, r/m64	REX.W + 0F 49
CMOVNZ r16, r/m16	0F 45
CMOVNZ r32, r/m32	0F 45
CMOVNZ r64, r/m64	REX.W + 0F 45
CMOVO r16, r/m16	0F 40
CMOVO r32, r/m32	0F 40
CMOVO r64, r/m64	REX.W + 0F 40
CMOVP r16, r/m16	0F 4A
CMOVP r32, r/m32	0F 4A
CMOVP r64, r/m64	REX.W + 0F 4A
CMOVPE r16, r/m16	0F 4A
CMOVPE r32, r/m32	0F 4A
CMOVPE r64, r/m64	REX.W + 0F 4A
CMOVPO r16, r/m16	0F 4B
CMOVPO r32, r/m32	0F 4B
CMOVPO r64, r/m64	REX.W + 0F 4B
CMOVS r16, r/m16	0F 48
CMOVS r32, r/m32	0F 48
CMOVS r64, r/m64	REX.W + 0F 48
CMOVZ r16, r/m16	0F 44
CMOVZ r32, r/m32	0F 44
CMOVZ r64, r/m64	REX.W + 0F 44
CMP AL, imm8	3C
CMP AX, imm16	3D
CMP EAX, imm32	3D
CMP RAX, imm32	REX.W + 3D
CMP r/m8, imm8	80 /7
CMP r/m8, imm8	REX + 80 /7
CMP r/m16, imm16	81 /7
CMP r/m32, imm32	81 /7
CMP r/m64, imm32	REX.W + 81 /7
CMP r/m16, imm8	83 /7
CMP r/m32, imm8	83 /7
CMP r/m64, imm8	REX.W + 83 /7
CMP r/m8, r8	38
CMP r/m8, r8	REX + 38
CMP r/m16, r16	39
CMP r/m32, r32	39
CMP r/m64,r64	REX.W + 39
CMP r8, r/m8	3A
CMP r8, r/m8	REX + 3A
CMP r16, r/m16	3B
CMP r32, r/m32	3B
CMP r64, r/m64	REX.W + 3B
CMPPD xmm1, xmm2/m128, imm8	66 0F C2
CMPPS xmm1, xmm2/m128, imm8	0F C2
CMPSD xmm1, xmm2/m64, imm8	F2 0F C2
CMPSS xmm1, xmm2/m32, imm8	F3 0F C2
CMPS m8, m8	A6
CMPS m16, m16	A7
CMPS m32, m32	A7
CMPS m64, m64	REX.W + A7
CMPSB	A6
CMPSW	A7
CMPSD	A7
CMPSQ	REX.W + A7
CMPXCHG r/m8, r8	0F B0
CMPXCHG r/m8,r8	REX + 0F B0
CMPXCHG r/m16, r16	0F B1
CMPXCHG r/m32, r32	0F B1
CMPXCHG r/m64, r64	REX.W + 0F B1
CMPXCHG8B m64	0F C7 /1 m64
CMPXCHG16B m128	REX.W + 0F C7 /1 m128
COMISD xmm1, xmm2/m64	66 0F 2F
COMISS xmm1, xmm2/m32	0F 2F
CPUID	0F A2
CRC32 r32, r/m8	F2 0F 38 F0
CRC32 r32, r/m8	F2 REX 0F 38 F0
CRC32 r32, r/m16	F2 0F 38 F1
CRC32 r32, r/m32	F2 0F 38 F1
CRC32 r64, r/m8	F2 REX.W 0F 38 F0
CRC32 r64, r/m64	F2 REX.W 0F 38 F1
CVTDQ2PD xmm1, xmm2/m64	F3 0F E6
CVTDQ2PS xmm1, xmm2/m128	0F 5B
CVTPD2DQ xmm1, xmm2/m128	F2 0F E6
CVTPD2PS xmm1, xmm2/m128	66 0F 5A
CVTPS2DQ xmm1, xmm2/m128	66 0F 5B
CVTPS2PD xmm1, xmm2/m64	0F 5A
CVTSD2SI r32, xmm1/m64	F2 0F 2D
CVTSD2SI r64, xmm1/m64	F2 REX.W 0F 2D
CVTSD2SS xmm1, xmm2/m64	F2 0F 5A
CVTSI2SD xmm1, r32/m32	F2 0F 2A
CVTSI2SD xmm1, r/m64	F2 REX.W 0F 2A
CVTSI2SS xmm1, r/m32	F3 0F 2A
CVTSI2SS xmm1, r/m64	F3 REX.W 0F 2A
CVTSS2SD xmm1, xmm2/m32	F3 0F 5A
CVTSS2SI r32, xmm1/m32	F3 0F 2D
CVTSS2SI r64, xmm1/m32	F3 REX.W 0F 2D
CVTTPD2DQ xmm1, xmm2/m128	66 0F E6
CVTTPS2DQ xmm1, xmm2/m128	F3 0F 5B
CVTTSD2SI r32, xmm1/m64	F2 0F 2C
CVTTSD2SI r64, xmm1/m64	F2 REX.W 0F 2C
CVTTSS2SI r32, xmm1/m32	F3 0F 2C
CVTTSS2SI r64, xmm1/m32	F3 REX.W 0F 2C
CWD	99
CDQ	99
CQO	REX.W + 99
DAA	27
DAS	2F
DEC r/m8	FE /1
DEC r/m8	REX + FE /1
DEC r/m16	FF /1
DEC r/m32	FF /1
DEC r/m64	REX.W + FF /1
DEC r16	48
DEC r32	48
DIV r/m8	F6 /6
DIV r/m8	REX + F6 /6
DIV r/m16	F7 /6
DIV r/m32	F7 /6
DIV r/m64	REX.W + F7 /6
DIVPD xmm1, xmm2/m128	66 0F 5E
DIVPS xmm1, xmm2/m128	0F 5E
DIVSD xmm1, xmm2/m64	F2 0F 5E
DIVSS xmm1, xmm2/m32	F3 0F 5E
DPPD xmm1, xmm2/m128, imm8	66 0F 3A 41
DPPS xmm1, xmm2/m128, imm8	66 0F 3A 40
EMMS	0F 77
ENTER imm16, 0	C8  00
ENTER imm16,1	C8  01
ENTER imm16, imm8	C8
EXTRACTPS reg/m32, xmm1, imm8	66 0F 3A 17
F2XM1	D9 F0
FABS	D9 E1
FADD m32fp	D8 /0
FADD m64fp	DC /0
FADD ST(0), ST(i)	D8 C0+i
FADD ST(i), ST(0)	DC C0+i
FADDP ST(i), ST(0)	DE C0+i
FADDP	DE C1
FIADD m32int	DA /0
FIADD m16int	DE /0
FBLD m80dec	DF /4
FBSTP m80b	DF /6
FCHS	D9 E0
FCLEX	9B DB E2
FNCLEX	DB E2
FCMOVB ST(0), ST(i)	DA C0+i
FCMOVE ST(0), ST(i)	DA C8+i
FCMOVBE ST(0), ST(i)	DA D0+i
FCMOVU ST(0), ST(i)	DA D8+i
FCMOVNB ST(0), ST(i)	DB C0+i
FCMOVNE ST(0), ST(i)	DB C8+i
FCMOVNBE ST(0), ST(i)	DB D0+i
FCMOVNU ST(0), ST(i)	DB D8+i
FCOMI ST, ST(i)	DB F0+i
FCOMIP ST, ST(i)	DF F0+i
FUCOMI ST, ST(i)	DB E8+i
FUCOMIP ST, ST(i)	DF E8+i
FCOM m32fp	D8 /2
FCOM m64fp	DC /2
FCOM ST(i)	D8 D0+i
FCOM	D8 D1
FCOMP m32fp	D8 /3
FCOMP m64fp	DC /3
FCOMP ST(i)	D8 D8+i
FCOMP	D8 D9
FCOMPP	DE D9
FCOS	D9 FF
FDECSTP	D9 F6
FDIVR m32fp	D8 /7
FDIVR m64fp	DC /7
FDIVR ST(0), ST(i)	D8 F8+i
FDIVR ST(i), ST(0)	DC F0+i
FDIVRP ST(i), ST(0)	DE F0+i
FDIVRP	DE F1
FIDIVR m32int	DA /7
FIDIVR m16int	DE /7
FDIV m32fp	D8 /6
FDIV m64fp	DC /6
FDIV ST(0), ST(i)	D8 F0+i
FDIV ST(i), ST(0)	DC F8+i
FDIVP ST(i), ST(0)	DE F8+i
FDIVP	DE F9
FIDIV m32int	DA /6
FIDIV m16int	DE /6
FFREE ST(i)	DD C0+i
FICOM m16int	DE /2
FICOM m32int	DA /2
FICOMP m16int	DE /3
FICOMP m32int	DA /3
FILD m16int	DF /0
FILD m32int	DB /0
FILD m64int	DF /5
FINCSTP	D9 F7
FINIT	9B DB E3
FNINIT	DB E3
FISTTP m16int	DF /1
FISTTP m32int	DB /1
FISTTP m64int	DD /1
FIST m16int	DF /2
FIST m32int	DB /2
FISTP m16int	DF /3
FISTP m32int	DB /3
FISTP m64int	DF /7
FLD m32fp	D9 /0
FLD m64fp	DD /0
FLD m80fp	DB /5
FLD ST(i)	D9 C0+i
FLD1	D9 E8
FLDL2T	D9 E9
FLDL2E	D9 EA
FLDPI	D9 EB
FLDLG2	D9 EC
FLDLN2	D9 ED
FLDZ	D9 EE
FLDCW m2byte	D9 /5
FLDENV m14/28byte	D9 /4
FMUL m32fp	D8 /1
FMUL m64fp	DC /1
FMUL ST(0), ST(i)	D8 C8+i
FMUL ST(i), ST(0)	DC C8+i
FMULP ST(i), ST(0)	DE C8+i
FMULP	DE C9
FIMUL m32int	DA /1
FIMUL m16int	DE /1
FNOP	D9 D0
FPATAN	D9 F3
FPREM	D9 F8
FPREM1	D9 F5
FPTAN	D9 F2
FRNDINT	D9 FC
FRSTOR m94/108byte	DD /4
FSAVE m94/108byte	9B DD /6
FNSAVE m94/108byte	DD /6
FSCALE	D9 FD
FSIN	D9 FE
FSINCOS	D9 FB
FSQRT	D9 FA
FSTCW m2byte	9B D9 /7
FNSTCW m2byte	D9 /7
FSTENV m14/28byte	9B D9 /6
FNSTENV m14/28byte	D9 /6
FSTSW m2byte	9B DD /7
FSTSW AX	9B DF E0
FNSTSW m2byte	DD /7
FNSTSW AX	DF E0
FST m32fp	D9 /2
FST m64fp	DD /2
FST ST(i)	DD D0+i
FSTP m32fp	D9 /3
FSTP m64fp	DD /3
FSTP m80fp	DB /7
FSTP ST(i)	DD D8+i
FSUBR m32fp	D8 /5
FSUBR m64fp	DC /5
FSUBR ST(0), ST(i)	D8 E8+i
FSUBR ST(i), ST(0)	DC E0+i
FSUBRP ST(i), ST(0)	DE E0+i
FSUBRP	DE E1
FISUBR m32int	DA /5
FISUBR m16int	DE /5
FSUB m32fp	D8 /4
FSUB m64fp	DC /4
FSUB ST(0), ST(i)	D8 E0+i
FSUB ST(i), ST(0)	DC E8+i
FSUBP ST(i), ST(0)	DE E8+i
FSUBP	DE E9
FISUB m32int	DA /4
FISUB m16int	DE /4
FTST	D9 E4
FUCOM ST(i)	DD E0+i
FUCOM	DD E1
FUCOMP ST(i)	DD E8+i
FUCOMP	DD E9
FUCOMPP	DA E9
FXAM	D9 E5
FXCH ST(i)	D9 C8+i
FXCH	D9 C9
FXRSTOR m512byte	0F AE /1
FXRSTOR64 m512byte	REX.W+ 0F AE /1
FXSAVE m512byte	0F AE /0
FXSAVE64 m512byte	REX.W+ 0F AE /0
FXTRACT	D9 F4
FYL2X	D9 F1
FYL2XP1	D9 F9
HADDPD xmm1, xmm2/m128	66 0F 7C
HADDPS xmm1, xmm2/m128	F2 0F 7C
HLT	F4
HSUBPD xmm1, xmm2/m128	66 0F 7D
HSUBPS xmm1, xmm2/m128	F2 0F 7D
IDIV r/m8	F6 /7
IDIV r/m8	REX + F6 /7
IDIV r/m16	F7 /7
IDIV r/m32	F7 /7
IDIV r/m64	REX.W + F7 /7
IMUL r/m8	F6 /5
IMUL r/m16	F7 /5
IMUL r/m32	F7 /5
IMUL r/m64	REX.W + F7 /5
IMUL r16, r/m16	0F AF
IMUL r32, r/m32	0F AF
IMUL r64, r/m64	REX.W + 0F AF
IMUL r16, r/m16, imm8	6B
IMUL r32, r/m32, imm8	6B
IMUL r64, r/m64, imm8	REX.W + 6B
IMUL r16, r/m16, imm16	69
IMUL r32, r/m32, imm32	69
IMUL r64, r/m64, imm32	REX.W + 69
IN AL, imm8	E4
IN AX, imm8	E5
IN EAX, imm8	E5
IN AL,DX	EC
IN AX,DX	ED
IN EAX,DX	ED
INC r/m8	FE /0
INC r/m8	REX + FE /0
INC r/m16	FF /0
INC r/m32	FF /0
INC r/m64	REX.W + FF /0
INC r16	40+ rw
INC r32	40+ rd
INSERTPS xmm1, xmm2/m32, imm8	66 0F 3A 21
INS m8, DX	6C
INS m16, DX	6D
INS m32, DX	6D
INSB	6C
INSW	6D
INSD	6D
INT 3	CC
INT imm8	CD
INTO	CE
INVD	0F 08
INVLPG m	0F 01/7
INVPCID r32, m128	66 0F 38 82
INVPCID r64, m128	66 0F 38 82
IRET	CF
IRETD	CF
IRETQ	REX.W + CF
JMP rel8	EB
JMP rel16	E9
JMP rel32	E9
JMP r/m16	FF /4
JMP r/m32	FF /4
JMP r/m64	FF /4
JMP ptr16:16	EA
JMP ptr16:32	EA cp
JMP m16:16	FF /5
JMP m16:32	FF /5
JMP m16:64	REX.W + FF /5
JA rel8	77
JAE rel8	73
JB rel8	72
JBE rel8	76
JC rel8	72
JCXZ rel8	E3
JECXZ rel8	E3
JRCXZ rel8	E3
JE rel8	74
JG rel8	7F
JGE rel8	7D
JL rel8	7C
JLE rel8	7E
JNA rel8	76
JNAE rel8	72
JNB rel8	73
JNBE rel8	77
JNC rel8	73
JNE rel8	75
JNG rel8	7E
JNGE rel8	7C
JNL rel8	7D
JNLE rel8	7F
JNO rel8	71
JNP rel8	7B
JNS rel8	79
JNZ rel8	75
JO rel8	70
JP rel8	7A
JPE rel8	7A
JPO rel8	7B
JS rel8	78
JZ rel8	74
JA rel16	0F 87
JA rel32	0F 87
JAE rel16	0F 83
JAE rel32	0F 83
JB rel16	0F 82
JB rel32	0F 82
JBE rel16	0F 86
JBE rel32	0F 86
JC rel16	0F 82
JC rel32	0F 82
JE rel16	0F 84
JE rel32	0F 84
JZ rel16	0F 84
JZ rel32	0F 84
JG rel16	0F 8F
JG rel32	0F 8F
JGE rel16	0F 8D
JGE rel32	0F 8D
JL rel16	0F 8C
JL rel32	0F 8C
JLE rel16	0F 8E
JLE rel32	0F 8E
JNA rel16	0F 86
JNA rel32	0F 86
JNAE rel16	0F 82
JNAE rel32	0F 82
JNB rel16	0F 83
JNB rel32	0F 83
JNBE rel16	0F 87
JNBE rel32	0F 87
JNC rel16	0F 83
JNC rel32	0F 83
JNE rel16	0F 85
JNE rel32	0F 85
JNG rel16	0F 8E
JNG rel32	0F 8E
JNGE rel16	0F 8C
JNGE rel32	0F 8C
JNL rel16	0F 8D
JNL rel32	0F 8D
JNLE rel16	0F 8F
JNLE rel32	0F 8F
JNO rel16	0F 81
JNO rel32	0F 81
JNP rel16	0F 8B
JNP rel32	0F 8B
JNS rel16	0F 89
JNS rel32	0F 89
JNZ rel16	0F 85
JNZ rel32	0F 85
JO rel16	0F 80
JO rel32	0F 80
JP rel16	0F 8A
JP rel32	0F 8A
JPE rel16	0F 8A
JPE rel32	0F 8B
JPO rel16	0F 8A
JPO rel32	0F 8B
JS rel16	0F 88
JS rel32	0F 88
JZ rel16	0F 84
JZ rel32	0F 84
LAHF	9F
LAR r16, r16/m16	0F 02
LAR reg, r32/m16	0F 02
LDDQU xmm1, mem	F2 0F F0
LDMXCSR m32	0F AE /2
LDS r16,m16:16	C5
LDS r32,m16:32	C5
LSS r16,m16:16	0F B2
LSS r32,m16:32	0F B2
LSS r64,m16:64	REX + 0F B2
LES r16,m16:16	C4
LES r32,m16:32	C4
LFS r16,m16:16	0F B4
LFS r32,m16:32	0F B4
LFS r64,m16:64	REX + 0F B4
LGS r16,m16:16	0F B5
LGS r32,m16:32	0F B5
LGS r64,m16:64	REX + 0F B5
LEA r16,m	8D
LEA r32,m	8D
LEA r64,m	REX.W + 8D
LEAVE	C9
LEAVE	C9
LEAVE	C9
LFENCE	0F AE E8
LGDT m16&32	0F 01 /2
LIDT m16&32	0F 01 /3
LGDT m16&64	0F 01 /2
LIDT m16&64	0F 01 /3
LLDT r/m16	0F 00 /2
LMSW r/m16	0F 01 /6
LOCK	F0
LODS m8	AC
LODS m16	AD
LODS m32	AD
LODS m64	REX.W + AD
LODSB	AC
LODSW	AD
LODSD	AD
LODSQ	REX.W + AD
LOOP rel8	E2
LOOPE rel8	E1
LOOPNE rel8	E0
LSL r16, r16/m16	0F 03
LSL r32, r32/m16	0F 03
LSL r64, r32/m16	REX.W + 0F 03
LTR r/m16	0F 00 /3
LZCNT r16, r/m16	F3 0F BD
LZCNT r32, r/m32	F3 0F BD
LZCNT r64, r/m64	F3 REX.W 0F BD
MASKMOVDQU xmm1, xmm2	66 0F F7
MAXPD xmm1, xmm2/m128	66 0F 5F
MAXPS xmm1, xmm2/m128	0F 5F
MAXSD xmm1, xmm2/m64	F2 0F 5F
MAXSS xmm1, xmm2/m32	F3 0F 5F
MFENCE	0F AE F0
MINPD xmm1, xmm2/m128	66 0F 5D
MINPS xmm1, xmm2/m128	0F 5D
MINSD xmm1, xmm2/m64	F2 0F 5D
MINSS xmm1,xmm2/m32	F3 0F 5D
MONITOR	0F 01 C8
MOV r32, CR0–CR7	0F 20
MOV r64, CR0–CR7	0F 20
MOV r64, CR8	REX.R + 0F 20 /0
MOV CR0–CR7, r32	0F 22
MOV CR0–CR7, r64	0F 22
MOV CR8, r64	REX.R + 0F 22 /0
MOV r32, DR0–DR7	0F 21
MOV r64, DR0–DR7	0F 21
MOV DR0–DR7, r32	0F 23
MOV DR0–DR7, r64	0F 23
MOV r/m8, r8	88
MOV r/m8, r8	REX + 88
MOV r/m16, r16	89
MOV r/m32, r32	89
MOV r/m64, r64	REX.W + 89
MOV r8, r/m8	8A
MOV r8, r/m8	REX + 8A
MOV r16, r/m16	8B
MOV r32, r/m32	8B
MOV r64, r/m64	REX.W + 8B
MOV r/m16, Sreg	8C
MOV r/m64, Sreg	REX.W + 8C
MOV Sreg, r/m16	8E
MOV Sreg, r/m64	REX.W + 8E
MOV AL, moffs8	A0
MOV AL, moffs8	REX.W + A0
MOV AX, moffs16	A1
MOV EAX, moffs32	A1
MOV RAX, moffs64	REX.W + A1
MOV moffs8, AL	A2
MOV moffs8, AL	REX.W + A2
MOV moffs16, AX	A3
MOV moffs32, EAX	A3
MOV moffs64, RAX	REX.W + A3
MOV r8, imm8	B0+ rb
MOV r8, imm8	REX + B0+ rb
MOV r16, imm16	B8+ rw
MOV r32, imm32	B8+ rd
MOV r64, imm64	REX.W + B8+ rd io
MOV r/m8, imm8	C6 /0
MOV r/m8, imm8	REX + C6 /0
MOV r/m16, imm16	C7 /0
MOV r/m32, imm32	C7 /0
MOV r/m64, imm32	REX.W + C7 /0 io
MOVAPD xmm1, xmm2/m128	66 0F 28
MOVAPD xmm2/m128, xmm1	66 0F 29
MOVAPS xmm1, xmm2/m128	0F 28
MOVAPS xmm2/m128, xmm1	0F 29
MOVBE r16, m16	0F 38 F0
MOVBE r32, m32	0F 38 F0
MOVBE r64, m64	REX.W + 0F 38 F0
MOVBE m16, r16	0F 38 F1
MOVBE m32, r32	0F 38 F1
MOVBE m64, r64	REX.W + 0F 38 F1
MOVDDUP xmm1, xmm2/m64	F2 0F 12
MOVDQA xmm1, xmm2/m128	66 0F 6F
MOVDQA xmm2/m128, xmm1	66 0F 7F
MOVDQU xmm1, xmm2/m128	F3 0F 6F
MOVDQU xmm2/m128, xmm1	F3 0F 7F
MOVD xmm, r/m32	66 0F 6E
MOVQ xmm, r/m64	66 REX.W 0F 6E
MOVD r/m32, xmm	66 0F 7E
MOVQ r/m64, xmm	66 REX.W 0F 7E
MOVHLPS xmm1, xmm2	0F 12
MOVHPD xmm1, m64	66 0F 16
MOVHPD m64, xmm1	66 0F 17
MOVHPS xmm1, m64	0F 16
MOVHPS m64, xmm1	0F 17
MOVLHPS xmm1, xmm2	0F 16
MOVLPD xmm1, m64	66 0F 12
MOVLPD m64, xmm1	66 0F 13
MOVLPS xmm1, m64	0F 12
MOVLPS m64, xmm1	0F 13
MOVMSKPD reg, xmm	66 0F 50
MOVMSKPS reg, xmm	0F 50
